original ID,Individual recoded,Trial,Box,Box recoded,Family (old),Family NEW,Donor (D) / Receptor (R),Weight start (g),Weight  end or death (g),Description of symptoms,Day of first symptoms,Day of death,parasites,Donor (D) / Receptor (R),Donor fam,Family combinations,Original sire ID,Sire_rec,Original sire ID,Dam_rec,Sex,Genotype,Weight start (g),Weight category,Description of symptoms,Ascite,Belly up,Color change,Haemorragia,Depigmentation,Erratic swimming,Wound,Day start to end (resilience),Days onset symptoms (susceptibility),Days onset to death (tolerance) ,Removed (yes/no),"Resilience (0 dead/UC, 1 survive/C)","Resistance (0 dead/UC, 1 survive/C)","Tolerance (0 dead/UC, 1 survive/C)"
328,328,1,14,14,24,24,D,35.2,33.1,color change,2014-10-25,2014-11-10,YES,D,D,5,FB-Y-154,9,FB-X-329,1,NA,Yes,35.2,4,color change,,,x,,,,,39,23,16,yes,no,no,no
329,329,1,14,14,24,24,D,46.7,46.7,color change,2014-10-05,2014-10-09,YES,D,D,5,FB-Y-154,9,FB-X-329,1,NA,Yes,46.7,5,color change,,,x,,,,,7,3,4,yes,no,no,no
330,330,1,14,14,24,24,D,38,37.7,color change,2014-10-05,2014-10-08,YES,D,D,5,FB-Y-154,9,FB-X-329,1,NA,Yes,38,4,color change,,,x,,,,,6,3,3,yes,no,no,no
331,331,1,14,14,32,32,R,36.1,40.2,exophthalmia ,2014-10-15,2014-10-22,YES,R,24,5,FB-Y-87,22,FB-X-230,21,Female,Yes,36.1,4,exophthalmia ,,,,,,x,,20,13,7,yes,no,no,no
332,332,1,14,14,32,32,R,25.2,24.6,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-87,22,FB-X-230,21,Female,Yes,25.2,2,NA,,,,,,,,48,NA,NA,yes,no,no,no
333,333,1,14,14,32,32,R,28.1,35.6,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-87,22,FB-X-230,21,NA,Yes,28.1,2,NA,,,,,,,,48,NA,NA,yes,no,no,no
334,334,1,14,14,32,32,R,34.1,33.1,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-87,22,FB-X-230,21,Female,Yes,34.1,4,NA,,,,,,,,48,NA,NA,yes,no,no,no
335,335,1,14,14,32,32,R,50,48.9,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-87,22,FB-X-230,21,Male,Yes,50,6,NA,,,,,,,,48,NA,NA,yes,no,no,no
336,336,1,14,14,28,28,R,35.9,38.4,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-89,24,FB-X-334,5,Female,Yes,35.9,4,NA,,,,,,,,48,NA,NA,yes,no,no,no
337,337,1,14,14,28,28,R,21.4,25.3,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-89,24,FB-X-334,5,Male,Yes,21.4,1,NA,,,,,,,,48,NA,NA,yes,no,no,no
338,338,1,14,14,28,28,R,23.6,26.3,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-89,24,FB-X-334,5,Female,Yes,23.6,1,NA,,,,,,,,48,NA,NA,yes,no,no,no
339,339,1,14,14,28,28,R,13.6,17.1,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-89,24,FB-X-334,5,NA,Yes,13.6,1,NA,,,,,,,,48,NA,NA,yes,no,no,no
340,340,1,14,14,28,28,R,14.4,13.4,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-89,24,FB-X-334,5,NA,Yes,14.4,1,NA,,,,,,,,48,NA,NA,yes,no,no,no
341,341,1,14,14,18,18,R,42.2,51,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-5,13,FB-X-168,18,NA,Yes,42.2,5,NA,,,,,,,,48,NA,NA,yes,no,no,no
342,342,1,14,14,18,18,R,25.4,27.1,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-5,13,FB-X-168,18,Female,Yes,25.4,2,NA,,,,,,,,48,NA,NA,yes,no,no,no
343,343,1,14,14,18,18,R,36.6,35.8,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-5,13,FB-X-168,18,NA,Yes,36.6,4,NA,,,,,,,,48,NA,NA,yes,no,no,no
344,344,1,14,14,18,18,R,29.9,35.6,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-5,13,FB-X-168,18,Female,Yes,29.9,3,NA,,,,,,,,48,NA,NA,yes,no,no,no
345,345,1,14,14,18,18,R,39.9,47.7,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-5,13,FB-X-168,18,Female,Yes,39.9,5,NA,,,,,,,,48,NA,NA,yes,no,no,no
346,346,1,14,14,20,20,R,32.4,36,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-145,1,FB-X-356,10,Female,Yes,32.4,3,NA,,,,,,,,48,NA,NA,yes,no,no,no
347,347,1,14,14,20,20,R,35,45.3,wound in the fin labeled,2014-11-10,2014-11-19,YES,R,24,5,FB-Y-145,1,FB-X-356,10,Female,Yes,35,4,wound in the fin labeled,,,,,,,x,48,39,9,yes,no,no,no
348,348,1,14,14,20,20,R,25.4,27.8,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-145,1,FB-X-356,10,NA,Yes,25.4,2,NA,,,,,,,,48,NA,NA,yes,no,no,no
349,349,1,14,14,20,20,R,30.6,42.6,wound in the fin labeled,2014-11-06,2014-11-08,YES,R,24,5,FB-Y-145,1,FB-X-356,10,NA,Yes,30.6,3,wound in the fin labeled,,,,,,,x,37,35,2,yes,no,no,no
350,350,1,14,14,20,20,R,25.3,25.5,NA,NA,2014-11-19,¿?,R,24,5,FB-Y-145,1,FB-X-356,10,Male,Yes,25.3,2,NA,,,,,,,,48,NA,NA,yes,no,no,no
351,351,1,15,15,24,24,D,41.9,39.8,NA,NA,2014-10-08,YES,D,D,6,FB-Y-154,9,FB-X-329,1,NA,Yes,41.9,5,NA,,,,,,,,6,NA,NA,no,no,no,no
352,352,1,15,15,24,24,D,43.3,43,color change,2014-10-05,2014-10-07,YES,D,D,6,FB-Y-154,9,FB-X-329,1,NA,Yes,43.3,5,color change,,,x,,,,,5,3,2,no,0,0,0
353,353,1,15,15,24,24,D,40.9,38.2,color change,2014-10-05,2014-10-08,YES,D,D,6,FB-Y-154,9,FB-X-329,1,NA,Yes,40.9,5,color change,,,x,,,,,6,3,3,no,0,0,0
354,354,1,15,15,24,24,D,35,34.2,erratic swimming,2014-10-07,2014-10-08,YES,D,D,6,FB-Y-154,9,FB-X-329,1,NA,Yes,35,4,erratic swimming,,,,,,x,,6,5,1,no,0,0,0
355,355,1,15,15,24,24,D,27.8,28,color change,2014-10-05,2014-10-08,YES,D,D,6,FB-Y-154,9,FB-X-329,1,NA,Yes,27.8,2,color change,,,x,,,,,6,3,3,no,0,0,0
356,356,1,15,15,10,10,R,32.7,36.3,wound in the fin not labeled,2014-10-30,2014-11-05,YES,R,24,6,FB-Y-89,24,FB-X-168,18,Female,Yes,32.7,3,wound in the fin not labeled,,,,,,,x,34,28,6,no,0,0,0
357,357,1,15,15,10,10,R,39.5,51.1,wound in the fin labeled,2014-11-10,2014-11-11,YES,R,24,6,FB-Y-89,24,FB-X-168,18,Male,Yes,39.5,5,wound in the fin labeled,,,,,,,x,40,39,1,no,0,0,0
358,358,1,15,15,10,10,R,42.1,59.3,color change,2014-11-19,2014-11-22,YES,R,24,6,FB-Y-89,24,FB-X-168,18,NA,Yes,42.1,5,color change,,,x,,,,,51,48,3,no,0,0,0
359,359,1,15,15,10,10,R,34.8,74.9,NA,NA,2015-01-14,Slaughtered,R,24,6,FB-Y-89,24,FB-X-168,18,Male,Yes,34.8,4,NA,,,,,,,,104,104,NA,no,1,1,no
360,360,1,15,15,10,10,R,39.2,80.9,NA,NA,2015-01-14,Slaughtered,R,24,6,FB-Y-89,24,FB-X-168,18,Female,Yes,39.2,5,NA,,,,,,,,104,104,NA,no,1,1,no
361,361,1,15,15,8,8,R,49.4,46.2,exophthalmia,2014-11-06,2014-11-20,YES,R,24,6,FB-Y-162,7,FB-X-186,13,NA,Yes,49.4,6,exophthalmia,,,,,,x,,49,35,14,no,0,0,0
362,362,1,15,15,8,8,R,40.7,42.8,wound in the fin labeled,2014-11-06,2015-01-14,Slaughtered,R,24,6,FB-Y-162,7,FB-X-186,13,Male,Yes,40.7,5,wound in the fin labeled,,,,,,,x,104,35,69,no,1,0,1
363,363,1,15,15,8,8,R,46.4,36.9,wound in the fin labeled,2014-11-06,2014-11-18,YES,R,24,6,FB-Y-162,7,FB-X-186,13,Male,Yes,46.4,5,wound in the fin labeled,,,,,,,x,47,35,12,no,0,0,0
364,364,1,15,15,8,8,R,62.1,79,haemorrhage in mouth,2014-11-06,2014-11-09,YES,R,24,6,FB-Y-162,7,FB-X-186,13,NA,Yes,62.1,6,haemorrhage in mouth,,,,x,,,,38,35,3,no,0,0,0
365,365,1,15,15,8,8,R,41.7,74.9,NA,NA,2015-01-14,Slaughtered,R,24,6,FB-Y-162,7,FB-X-186,13,Male,Yes,41.7,5,NA,,,,,,,,104,104,NA,no,1,1,no
366,366,1,15,15,33,33,R,32.5,44.3,exophthalmia,2014-11-03,2014-11-05,YES,R,24,6,FB-Y-146,2,FB-X-351,9,Female,Yes,32.5,3,exophthalmia,,,,,,x,,34,32,2,no,0,0,0
367,367,1,15,15,33,33,R,32.3,39.6,color change,2014-10-07,2014-10-10,YES,R,24,6,FB-Y-146,2,FB-X-351,9,Female,Yes,32.3,3,color change,,,x,,,,,8,5,3,no,0,0,0
368,368,1,15,15,33,33,R,32.2,37,wound in the fin labeled,2014-11-03,2014-10-13,YES,R,24,6,FB-Y-146,2,FB-X-351,9,Female,Yes,32.2,3,wound in the fin labeled,,,,,,,x,11,32,-21,yes,no,no,no
369,369,1,15,15,33,33,R,41.8,61.9,color change,2015-01-11,2015-01-14,Slaughtered,R,24,6,FB-Y-146,2,FB-X-351,9,Female,Yes,41.8,5,color change,,,x,,,,,104,101,3,no,1,0,1
370,370,1,15,15,33,33,R,44,41.8,ascite,2014-10-15,2014-10-15,YES,R,24,6,FB-Y-146,2,FB-X-351,9,Female,Yes,44,5,ascite,x,,,,,,,13,13,0,no,0,0,0
371,371,1,15,15,32,32,R,28.3,59.1,ascite,2014-10-13,2015-01-14,Slaughtered,R,24,6,FB-Y-87,22,FB-X-230,21,NA,Yes,28.3,2,ascite,x,,,,,,,104,11,93,no,1,0,1
372,372,1,15,15,32,32,R,29.4,26.4,color change,2014-10-05,2014-10-05,YES,R,24,6,FB-Y-87,22,FB-X-230,21,Male,Yes,29.4,3,color change,,,x,,,,,3,3,0,no,0,0,0
373,373,1,15,15,32,32,R,29.3,72.5,color change,2015-01-11,2015-01-14,Slaughtered,R,24,6,FB-Y-87,22,FB-X-230,21,Male,Yes,29.3,3,color change,,,x,,,,,104,101,3,no,1,0,1
374,374,1,15,15,32,32,R,33.8,36.9,wound in the fin head,2014-11-19,2014-12-01,YES,R,24,6,FB-Y-87,22,FB-X-230,21,Female,Yes,33.8,4,wound in the fin head,,,,,,,x,60,48,12,no,0,0,0
375,375,1,15,15,32,32,R,36.7,73.2,color change,2014-12-27,2015-01-14,Slaughtered,R,24,6,FB-Y-87,22,FB-X-230,21,Male,Yes,36.7,4,color change,,,x,,,,,104,86,18,no,1,0,1
376,376,1,16,16,24,24,D,20.6,18.1,NA,NA,2014-10-06,YES,D,D,7,FB-Y-154,9,FB-X-329,1,NA,Yes,20.6,1,NA,,,,,,,,4,NA,NA,no,no,no,no
377,377,1,16,16,24,24,D,35.7,34.5,color change,2014-10-05,2014-10-09,YES,D,D,7,FB-Y-154,9,FB-X-329,1,NA,Yes,35.7,4,color change,,,x,,,,,7,3,4,no,0,0,0
378,378,1,16,16,24,24,D,45,85.9,color change,2015-01-12,2015-01-14,Slaughtered,D,D,7,FB-Y-154,9,FB-X-329,1,NA,Yes,45,5,color change,,,x,,,,,104,102,2,no,0,0,0
379,379,1,16,16,24,24,D,28,25.8,color change,2014-10-06,2014-10-08,YES,D,D,7,FB-Y-154,9,FB-X-329,1,NA,Yes,28,2,color change,,,x,,,,,6,4,2,no,0,0,0
380,380,1,16,16,24,24,D,34.4,35.2,color change,2014-10-05,2014-10-08,YES,D,D,7,FB-Y-154,9,FB-X-329,1,NA,Yes,34.4,4,color change,,,x,,,,,6,3,3,no,0,0,0
381,381,1,16,16,30,30,R,22.9,28.1,wound in the fin labeled,2014-11-04,2014-11-08,YES,R,24,7,FB-Y-1,12,FB-X-183,26,NA,Yes,22.9,1,wound in the fin labeled,,,,,,,x,37,33,4,no,0,0,0
382,382,1,16,16,30,30,R,25.2,48.2,wound in the fin labeled,2014-11-04,2015-01-14,Slaughtered,R,24,7,FB-Y-1,12,FB-X-183,26,Female,Yes,25.2,2,wound in the fin labeled,,,,,,,x,104,33,71,no,1,0,1
383,383,1,16,16,30,30,R,28.6,51.1,NA,NA,2015-01-14,Slaughtered,R,24,7,FB-Y-1,12,FB-X-183,26,Female,Yes,28.6,2,NA,,,,,,,,104,104,NA,no,1,1,no
384,384,1,16,16,30,30,R,23.5,62.5,NA,NA,2015-01-14,Slaughtered,R,24,7,FB-Y-1,12,FB-X-183,26,Female,Yes,23.5,1,NA,,,,,,,,104,104,NA,no,1,1,no
385,385,1,16,16,30,30,R,27.1,20.8,NA,NA,2014-12-07,YES,R,24,7,FB-Y-1,12,FB-X-183,26,NA,Yes,27.1,2,NA,,,,,,,,66,NA,NA,no,0,no,no
386,386,1,16,16,12,12,R,35.9,53,color change,2014-12-28,2014-12-31,YES,R,24,7,FB-Y-152,4,FB-X-329,1,Female,Yes,35.9,4,color change,,,x,,,,,90,87,3,no,0,0,0
387,387,1,16,16,12,12,R,32.9,41.3,color change,2014-12-03,2014-12-16,YES,R,24,7,FB-Y-152,4,FB-X-329,1,NA,Yes,32.9,3,color change,,,x,,,,,75,62,13,no,0,0,0
388,388,1,16,16,12,12,R,35.5,42.6,color change,2014-10-05,2014-10-17,YES,R,24,7,FB-Y-152,4,FB-X-329,1,Female,Yes,35.5,4,color change,,,x,,,,,15,3,12,no,0,0,0
389,389,1,16,16,12,12,R,39.1,51,color change,2014-12-05,2014-12-21,YES,R,24,7,FB-Y-152,4,FB-X-329,1,Female,Yes,39.1,4,color change,,,x,,,,,80,64,16,no,0,0,0
390,390,1,16,16,12,12,R,46.2,48.4,wound in the fin labeled,2014-11-10,2014-11-19,YES,R,24,7,FB-Y-152,4,FB-X-329,1,Female,Yes,46.2,5,wound in the fin labeled,,,,,,,x,48,39,9,no,0,0,0
391,391,1,16,16,11,11,R,36,51,NA,NA,2014-12-21,YES,R,24,7,FB-Y-87,22,FB-X-208,15,Female,Yes,36,4,NA,,,,,,,,80,NA,NA,no,0,no,no
392,392,1,16,16,11,11,R,41.7,55.1,wound in the fin labeled,2014-10-30,2014-11-07,YES,R,24,7,FB-Y-87,22,FB-X-208,15,Male,Yes,41.7,5,wound in the fin labeled,,,,,,,x,36,28,8,no,0,0,0
393,393,1,16,16,11,11,R,40,63,NA,NA,2015-01-14,Slaughtered,R,24,7,FB-Y-87,22,FB-X-208,15,Male,Yes,40,5,NA,,,,,,,,104,104,NA,no,1,1,no
394,394,1,16,16,11,11,R,39.2,71.6,NA,NA,2015-01-14,Slaughtered,R,24,7,FB-Y-87,22,FB-X-208,15,Male,Yes,39.2,5,NA,,,,,,,,104,104,NA,no,1,1,no
395,395,1,16,16,11,11,R,38.6,67.5,head depigmentation,2014-11-06,2015-01-14,Slaughtered,R,24,7,FB-Y-87,22,FB-X-208,15,Female,Yes,38.6,4,head depigmentation,,,,,x,,,104,35,69,no,1,0,1
396,396,1,16,16,15,15,R,37.2,76.4,NA,NA,2015-01-14,Slaughtered,R,24,7,FB-Y-40,16,FB-X-186,13,Male,Yes,37.2,4,NA,,,,,,,,104,104,NA,no,1,1,no
397,397,1,16,16,15,15,R,37.4,33.2,color change,2014-12-10,2014-12-18,YES,R,24,7,FB-Y-40,16,FB-X-186,13,NA,Yes,37.4,4,color change,,,x,,,,,77,69,8,no,0,0,0
398,398,1,16,16,15,15,R,44.3,59.2,color change,2014-12-07,2014-12-10,YES,R,24,7,FB-Y-40,16,FB-X-186,13,Female,Yes,44.3,5,color change,,,x,,,,,69,66,3,no,0,0,0
399,399,1,16,16,15,15,R,37.3,38.9,color change,2014-11-01,2014-11-08,YES,R,24,7,FB-Y-40,16,FB-X-186,13,NA,Yes,37.3,4,color change,,,x,,,,,37,30,7,no,0,0,0
400,400,1,16,16,15,15,R,41.9,51.7,color change,2014-11-29,2014-12-09,YES,R,24,7,FB-Y-40,16,FB-X-186,13,Female,Yes,41.9,5,color change,,,x,,,,,68,58,10,no,0,0,0
401,401,1,17,17,24,24,D,45.7,44.6,NA,NA,2014-10-08,YES,D,D,8,FB-Y-154,9,FB-X-329,1,NA,Yes,45.7,5,NA,,,,,,,,6,NA,NA,no,no,no,no
402,402,1,17,17,24,24,D,37.5,37.5,ascite,2014-10-08,2014-10-08,YES,D,D,8,FB-Y-154,9,FB-X-329,1,NA,Yes,37.5,4,ascite,x,,,,,,,6,6,0,no,0,0,0
403,403,1,17,17,24,24,D,41,39.2,belly up,2014-10-05,2014-10-08,YES,D,D,8,FB-Y-154,9,FB-X-329,1,NA,Yes,41,5,belly up,,x,,,,,,6,3,3,no,0,0,0
404,404,1,17,17,24,24,D,43.2,36.6,color change,2014-10-05,2014-10-10,YES,D,D,8,FB-Y-154,9,FB-X-329,1,NA,Yes,43.2,5,color change,,,x,,,,,8,3,5,no,0,0,0
405,405,1,17,17,24,24,D,41.8,39.2,color change,2014-10-05,2014-10-13,YES,D,D,8,FB-Y-154,9,FB-X-329,1,NA,Yes,41.8,5,color change,,,x,,,,,11,3,8,no,0,0,0
406,406,1,17,17,7,7,R,47.9,70.7,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-162,7,FB-X-353,8,Female,Yes,47.9,5,NA,,,,,,,,104,104,NA,no,1,1,no
407,407,1,17,17,7,7,R,40.8,92.3,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-162,7,FB-X-353,8,Female,Yes,40.8,5,NA,,,,,,,,104,104,NA,no,1,1,no
408,408,1,17,17,7,7,R,48.8,84.9,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-162,7,FB-X-353,8,Female,Yes,48.8,6,NA,,,,,,,,104,104,NA,no,1,1,no
409,409,1,17,17,7,7,R,32.3,36.6,color change,2014-10-05,2014-10-09,YES,R,24,8,FB-Y-162,7,FB-X-353,8,NA,Yes,32.3,3,color change,,,x,,,,,7,3,4,no,0,0,0
410,410,1,17,17,7,7,R,42,70.5,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-162,7,FB-X-353,8,NA,Yes,42,5,NA,,,,,,,,104,104,NA,no,1,1,no
411,411,1,17,17,39,39,R,39.6,61.1,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-40,16,FB-X-230,21,NA,Yes,39.6,5,NA,,,,,,,,104,104,NA,no,1,1,no
412,412,1,17,17,39,39,R,34.7,54.3,color change,2014-12-18,2014-12-28,YES,R,24,8,FB-Y-40,16,FB-X-230,21,Female,Yes,34.7,4,color change,,,x,,,,,87,77,10,no,0,0,0
413,413,1,17,17,39,39,R,30.7,35.9,color change,2014-11-30,2014-12-01,YES,R,24,8,FB-Y-40,16,FB-X-230,21,Female,Yes,30.7,3,color change,,,x,,,,,60,59,1,no,0,0,0
414,414,1,17,17,39,39,R,21.2,49.7,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-40,16,FB-X-230,21,Female,Yes,21.2,1,NA,,,,,,,,104,104,NA,no,1,1,no
415,415,1,17,17,39,39,R,24.3,35.8,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-40,16,FB-X-230,21,Male,Yes,24.3,2,NA,,,,,,,,104,104,NA,no,1,1,no
416,416,1,17,17,28,28,R,26.6,23.4,wound in the fin labeled,2014-11-14,2014-11-24,YES,R,24,8,FB-Y-89,24,FB-X-334,5,Male,Yes,26.6,2,wound in the fin labeled,,,,,,,x,53,43,10,no,0,0,0
417,417,1,17,17,28,28,R,20.6,33.6,color change,2014-11-17,2014-11-20,YES,R,24,8,FB-Y-89,24,FB-X-334,5,Female,Yes,20.6,1,color change,,,x,,,,,49,46,3,no,0,0,0
418,418,1,17,17,28,28,R,15.4,16.1,color change,2014-12-13,2014-12-26,YES,R,24,8,FB-Y-89,24,FB-X-334,5,NA,Yes,15.4,1,color change,,,x,,,,,85,72,13,no,0,0,0
419,419,1,17,17,28,28,R,14.3,21.3,color change,2014-11-21,2014-11-28,YES,R,24,8,FB-Y-89,24,FB-X-334,5,Male,Yes,14.3,1,color change,,,x,,,,,57,50,7,no,0,0,0
420,420,1,17,17,28,28,R,16.4,36.2,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-89,24,FB-X-334,5,Female,Yes,16.4,1,NA,,,,,,,,104,104,NA,no,1,1,no
421,421,1,17,17,22,22,R,27.5,48.6,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-146,2,FB-X-356,10,Male,Yes,27.5,2,NA,,,,,,,,104,104,NA,no,1,1,no
422,422,1,17,17,22,22,R,26.7,48.5,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-146,2,FB-X-356,10,Male,Yes,26.7,2,NA,,,,,,,,104,104,NA,no,1,1,no
423,423,1,17,17,22,22,R,34.4,74.7,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-146,2,FB-X-356,10,Male,Yes,34.4,4,NA,,,,,,,,104,104,NA,no,1,1,no
424,424,1,17,17,22,22,R,26.1,37.6,NA,NA,2014-11-10,YES cerebro,R,24,8,FB-Y-146,2,FB-X-356,10,Female,Yes,26.1,2,NA,,,,,,,,39,NA,NA,no,0,no,no
425,425,1,17,17,22,22,R,24.1,48.5,NA,NA,2015-01-14,Slaughtered,R,24,8,FB-Y-146,2,FB-X-356,10,Male,Yes,24.1,1,NA,,,,,,,,104,104,NA,no,1,1,no
426,426,1,18,18,24,24,D,59.8,59.9,color change,2014-10-07,2014-10-08,YES,D,D,9,FB-Y-154,9,FB-X-329,1,NA,Yes,59.8,6,color change,,,x,,,,,6,5,1,no,0,0,0
427,427,1,18,18,24,24,D,36.4,33.9,color change,2014-10-05,2014-10-08,YES,D,D,9,FB-Y-154,9,FB-X-329,1,NA,Yes,36.4,4,color change,,,x,,,,,6,3,3,no,0,0,0
428,428,1,18,18,24,24,D,41.6,35.7,color change,2014-10-05,2014-10-07,YES,D,D,9,FB-Y-154,9,FB-X-329,1,NA,Yes,41.6,5,color change,,,x,,,,,5,3,2,no,0,0,0
429,429,1,18,18,24,24,D,33.2,33.6,color change,2014-10-05,2014-10-08,YES,D,D,9,FB-Y-154,9,FB-X-329,1,NA,Yes,33.2,3,color change,,,x,,,,,6,3,3,no,0,0,0
430,430,1,18,18,24,24,D,30.9,29.8,color change,2014-10-05,2014-10-10,YES,D,D,9,FB-Y-154,9,FB-X-329,1,NA,Yes,30.9,3,color change,,,x,,,,,8,3,5,no,0,0,0
431,431,1,18,18,13,13,R,39.1,94.3,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-85,21,FB-X-5,23,Female,Yes,39.1,4,NA,,,,,,,,104,104,NA,no,1,1,no
432,432,1,18,18,13,13,R,30,37.3,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-85,21,FB-X-5,23,NA,Yes,30,3,NA,,,,,,,,104,104,NA,no,1,1,no
433,433,1,18,18,13,14,R,22.6,51.9,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-1,12,FB-X-168,18,Male,Yes,22.6,1,NA,,,,,,,,104,104,NA,no,1,1,no
434,434,1,18,18,13,13,R,23,39.1,color change,2014-12-09,2014-12-19,YES,R,24,9,FB-Y-85,21,FB-X-5,23,NA,Yes,23,1,color change,,,x,,,,,78,68,10,no,0,0,0
435,435,1,18,18,13,14,R,25,34.3,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-1,12,FB-X-168,18,Male,Yes,25,2,NA,,,,,,,,104,104,NA,no,1,1,no
436,436,1,18,18,14,16,R,29.2,51,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-145,1,FB-X-330,2,Female,Yes,29.2,3,NA,,,,,,,,104,104,NA,no,1,1,no
437,437,1,18,18,14,16,R,41.9,52.4,NA,NA,2014-10-28,NA,R,24,9,FB-Y-145,1,FB-X-330,2,NA,Yes,41.9,5,NA,,,,,,,,26,NA,NA,yes,no,no,no
438,438,1,18,18,14,14,R,36.6,39.6,NA,NA,2014-11-11,NA,R,24,9,FB-Y-1,12,FB-X-168,18,Male,Yes,36.6,4,NA,,,,,,,,40,NA,NA,yes,no,no,no
439,439,1,18,18,14,19,R,26.6,22.3,NA,NA,2014-11-28,YES,R,24,9,FB-Y-152,4,FB-X-350,7,Male,Yes,26.6,2,NA,,,,,,,,57,NA,NA,no,0,no,no
440,440,1,18,18,14,19,R,17.6,14.9,NA,NA,2014-11-30,NA,R,24,9,FB-Y-152,4,FB-X-350,7,Female,Yes,17.6,1,NA,,,,,,,,59,NA,NA,yes,no,no,no
441,441,1,18,18,16,16,R,24.8,38.4,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-145,1,FB-X-330,2,Male,Yes,24.8,2,NA,,,,,,,,104,104,NA,no,1,1,no
442,442,1,18,18,16,13,R,40.8,56.6,NA,NA,2014-11-22,YES,R,24,9,FB-Y-85,21,FB-X-5,23,NA,Yes,40.8,5,NA,,,,,,,,51,NA,NA,no,0,no,no
443,443,1,18,18,16,13,R,38.9,80.7,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-85,21,FB-X-5,23,NA,Yes,38.9,4,NA,,,,,,,,104,104,NA,no,1,1,no
444,444,1,18,18,16,16,R,21.1,54.2,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-145,1,FB-X-330,2,Female,Yes,21.1,1,NA,,,,,,,,104,104,NA,no,1,1,no
445,445,1,18,18,16,16,R,21.8,30.1,color change,2014-12-18,2014-12-19,YES,R,24,9,FB-Y-145,1,FB-X-330,2,Male,Yes,21.8,1,color change,,,x,,,,,78,77,1,no,0,0,0
446,446,1,18,18,19,19,R,36.6,54.2,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-152,4,FB-X-350,7,NA,Yes,36.6,4,NA,,,,,,,,104,104,NA,no,1,1,no
447,447,1,18,18,19,19,R,37.7,43.3,NA,NA,2014-12-04,YES,R,24,9,FB-Y-152,4,FB-X-350,7,Female,Yes,37.7,4,NA,,,,,,,,63,NA,NA,no,0,no,no
448,448,1,18,18,19,14,R,21,--,NA,NA,2015-01-05,NA,R,24,9,FB-Y-1,12,FB-X-168,18,NA,Yes,21,1,NA,,,,,,,,95,NA,NA,yes,no,no,no
449,449,1,18,18,19,19,R,28.1,54.2,NA,NA,2015-01-14,Slaughtered,R,24,9,FB-Y-152,4,FB-X-350,7,NA,No,28.1,2,NA,,,,,,,,104,104,NA,no,1,1,no
450,450,1,18,18,19,19,R,22.1,30.7,color change,2014-12-16,2014-12-19,YES,R,24,9,FB-Y-152,4,FB-X-350,7,Male,Yes,22.1,1,color change,,,x,,,,,78,75,3,no,0,0,0
451,451,1,19,19,25,25,D,29.4,28.1,color change,2014-10-05,2014-10-08,YES,D,D,1,FB-Y-147,3,FB-X-330,2,NA,Yes,29.4,3,color change,,,x,,,,,6,3,3,no,no,0,0
452,452,1,19,19,25,25,D,37.3,33.8,NA,NA,2014-10-07,YES,D,D,1,FB-Y-147,3,FB-X-330,2,NA,Yes,37.3,4,NA,,,,,,,,5,NA,NA,no,no,no,no
453,453,1,19,19,25,25,D,37.2,34.3,NA,NA,2014-10-08,YES,D,D,1,FB-Y-147,3,FB-X-330,2,NA,Yes,37.2,4,NA,,,,,,,,6,NA,NA,no,no,no,no
